"","playerid","pitcher_hand","pitch_type","spin_rate","ab_result","action_result","adj_h"
"2224",2850,"R","CU",3386.0811,"\N","B",0
"2225",2850,"R","CU",3134.6221,"\N","F",0
"2226",2850,"R","CU",3146.5569,"\N","S",0
"2227",2850,"R","CU",3121.604,"\N","F",0
"2228",2850,"R","CU",3030.8701,"K","S",0
"2229",5829,"R","CU",3149.7539,"\N","B",0
"2230",2850,"R","CU",3159.686,"\N","B",0
"2231",2850,"R","CU",3044.9141,"\N","B",0
"2232",5829,"R","CU",3201.5471,"\N","F",0
"2233",2850,"R","CU",3123.0491,"\N","S",0
"2234",2850,"R","CU",3129.488,"O","X",0.59
"2235",2850,"R","CU",3011.8359,"1B","X",0.86
"2236",2850,"R","CU",3160.4839,"\N","C",0
"2237",2850,"R","CU",3223.1589,"K","S",0
"2238",2850,"R","CU",3181.25,"\N","B",0
"2239",2850,"R","CU",3097.7729,"\N","B",0
