,ID,NElive,NEdir,USdir,sad_18,nerve_18,rest_18,hope_18,effort_18,worth_18,ohom,ohom_ot,home,home_ot,live10m,income_18,fs5,fina,Marr10m,resi,rurb,adults,kids_18,empl1_13,empl2_13,empl3_13,empl4_13,empl5_13,empl6_13,empl7_13,empl8_13,empl9_13,empl_ot_13,born1,hisp1,race_1,race_2,race_3,race_4,race_5,race_6,race_ot,sexr_18,sexr_18_ot,sexorien,lgbfriend,degr,jsat,whrs,part,part_ot,poli,poli_ot,vote16,vote16_ot,relgaffil,relgaffil_ot,ratt,relginflu,IMG7_A,IMG7_B,IMG7_C,IMG7_D,IMG7_E,IMG7_F,EMPL,racecat,agyr,scwell,smoke,rzipcod,Comments7,Pwate
758,820364,2,1,2,5,3,3,5,4,4,3,,4,,16,2,3,4,3,1,3,1,0,1,NA,NA,NA,NA,NA,1,NA,NA,,2,2,1,NA,NA,NA,NA,NA,,2,,1,1,4,2,35,1,,2,,1,,3,,4,2,6,1,1,1,6,6,1,1,63,3,2,68516,,0.466651498
759,810218,3,3,2,3,2,3,4,2,3,2,,1,,8,8,5,3,3,1,3,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,,1,2,1,NA,NA,NA,NA,NA,,1,,1,1,5,3,60,3,,3,,2,,5,,7,3,0,1,1,2,0,0,1,1,NA,3,2,68136,,0.439716767
760,810538,1,3,2,5,4,4,5,5,5,1,,4,,NA,3,4,3,3,2,3,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,,2,2,1,NA,NA,NA,NA,NA,,2,,1,2,2,NA,NA,2,,5,,2,,1,,2,1,0,0,0,8,0,12,5,1,45,1,2,68959,,0.308496048
761,820082,1,1,3,5,3,3,5,5,5,2,,1,,33,5,5,3,2,1,3,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,,2,2,NA,1,NA,NA,NA,NA,,1,,2,1,3,2,40,1,,2,,1,,5,,8,6,0,0,0,10,0,0,1,2,63,2,2,68104,,0.515470692
762,820239,3,3,1,5,4,4,5,3,5,1,,1,,60,8,5,1,1,1,3,2,0,NA,NA,NA,NA,1,NA,NA,NA,NA,,2,2,1,NA,NA,NA,NA,1,HUMAN,1,,1,1,6,NA,NA,3,,4,,2,,2,,1,1,20,6,0,4,0,300,5,4,37,3,2,68144,,0.439716767
763,830414,2,1,1,4,5,4,5,4,5,1,,1,,19,6,4,2,1,1,3,3,0,NA,1,NA,NA,NA,NA,1,NA,NA,,3,2,1,NA,NA,NA,NA,NA,,2,,1,1,3,NA,25,2,,5,,2,,2,,1,1,NA,3,0,NA,NA,NA,2,1,69,4,2,68601,,2.347256601
764,840034,1,3,1,5,5,5,5,4,5,2,,1,,25,7,5,3,1,1,3,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,,1,2,1,NA,NA,NA,NA,NA,,1,,1,1,4,2,42,2,,4,,2,,2,,7,4,0,0,0,0,0,0,1,1,62,3,2,68025,,0.515470692
765,860554,1,1,2,5,5,5,5,5,5,1,,1,,40,9,5,1,1,1,1,2,0,NA,NA,NA,NA,1,NA,NA,NA,NA,,1,2,1,NA,NA,NA,NA,NA,,2,,1,2,2,NA,0,2,,5,,2,,1,,2,1,0,0,0,0,2,4,5,1,53,2,2,68967,,0.616992096
766,860379,2,3,2,5,4,3,5,5,5,2,,1,,25,9,4,4,1,1,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,,1,2,1,NA,NA,NA,NA,NA,,2,,1,2,5,3,42,1,,3,,1,,1,,6,4,0,0,0,0,NA,2,1,1,71,2,2,68516,,1.298949218
767,850121,2,1,1,5,5,5,5,5,NA,1,,1,,57,8,5,1,1,1,3,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,,1,2,1,NA,NA,NA,NA,NA,,1,,1,1,5,1,55,2,,NA,,2,,2,,2,1,0,1,0,1,2,4,1,1,62,1,2,68118,,1.030941384
768,850227,1,2,2,4,2,4,4,3,4,3,,4,,30,4,5,3,2,1,3,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,,1,2,1,NA,NA,NA,NA,NA,,1,,1,1,5,3,45,1,,2,,1,,2,,2,1,8,0,0,12,10,70,1,1,63,2,2,68154,,0.515470692
769,820181,1,1,1,5,4,5,5,5,5,2,,1,,26,7,4,2,1,1,3,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,,2,2,1,NA,NA,NA,NA,NA,,1,,1,1,3,1,50,3,,4,,2,,6,CHRISTIAN,8,4,0,0,0,0,1,0,1,1,69,2,2,68130,,3.274274105
770,830009,1,1,2,5,5,5,5,5,5,3,,4,,2,8,4,2,1,1,3,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,,2,2,1,NA,NA,NA,NA,NA,,1,,1,1,5,2,42,2,,4,,4,,1,,3,2,0,1,0,1,1,25,1,1,57,1,2,68007,,1.030941384
771,860190,3,3,2,4,4,3,4,3,5,3,,4,,0,1,3,4,2,2,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,3,2,NA,NA,1,NA,NA,NA,,1,,1,NA,NA,NA,NA,NA,SOCIALIST,2,,4,I'M AN IMMIGRANT,NA,HINDU,4,3,0,0,0,0,4,0,NA,4,NA,1,2,NA,,1.637137052
772,830334,1,1,1,5,5,5,5,5,5,1,,1,,53,9,5,1,1,1,3,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,,1,2,1,NA,NA,NA,NA,NA,,2,,1,2,3,5,41,2,,5,,2,,6,CHRISTIAN,6,4,0,0,0,0,0,5,1,1,65,1,2,68510,,0.933302995
773,860370,1,1,2,5,5,5,5,5,5,1,,1,,68,7,5,1,1,1,3,2,0,NA,1,NA,NA,1,NA,NA,NA,NA,,1,2,1,NA,NA,NA,NA,NA,,1,,1,1,3,3,6,3,,3,,1,,1,METHODIST,5,3,1,0,0,4,30,6,2,1,50,2,2,68516,,0.451296257
774,860393,1,3,2,3,3,3,5,3,4,2,,1,,32,6,4,3,1,1,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,,1,2,1,NA,NA,NA,NA,NA,,2,,1,2,3,1,40,4,I'M NOT VERY POLITICAL\,4,,4,,6,CHRISTIAN,2,2,0,0,0,0,0,0,1,1,85,2,2,68521,,1.298949218
775,830434,2,2,1,4,4,5,5,4,4,3,,1,,30,7,2,5,1,1,2,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,,1,2,1,NA,NA,NA,NA,NA,,1,,1,2,2,5,48,3,,6,NO POLITICAL SIDE,4,,5,,7,5,0,0,0,0,0,0,1,1,81,2,1,68642,,2.899474537
776,820212,1,1,3,3,5,5,4,3,5,1,,1,,22,9,5,4,1,1,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,,3,2,NA,NA,1,NA,NA,NA,,1,,1,2,6,3,40,3,,5,,2,,1,,1,1,5,1,0,40,8,60,1,4,67,4,2,68135,,1.030941384
777,810213,1,1,1,5,5,5,5,5,5,2,,1,,20,9,5,1,3,1,3,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,,2,2,1,NA,NA,NA,NA,NA,,1,,1,2,5,1,50,3,,3,,2,,1,,7,3,0,0,0,0,0,0,1,1,73,2,2,68135,,1.637137052
778,810261,1,1,3,5,4,4,5,5,5,3,,4,,45,2,5,3,4,2,3,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,,2,2,1,NA,NA,NA,NA,NA,,2,,1,2,2,NA,NA,1,,3,,1,,1,,8,6,0,0,0,0,0,0,5,1,37,2,2,68164,,0.408487033
779,840487,1,1,1,4,4,4,4,4,4,3,,4,,4,3,2,4,1,2,3,3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,,2,2,1,NA,NA,NA,NA,NA,,1,,1,2,4,2,40,2,,4,,2,,1,,2,1,0,0,0,0,0,48,1,1,59,2,2,68826,,1.675236019
780,850483,2,2,2,3,2,3,2,3,3,2,,1,,27,7,2,4,1,1,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,,2,2,1,NA,NA,NA,NA,NA,,2,,1,1,4,1,50,1,,2,,1,,1,,6,3,NA,NA,NA,NA,NA,NA,1,1,81,1,2,68850,,1.564837734
781,830439,3,3,2,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,NA,6,3,60,NA,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,68661,,0.308496048
